time,position
2003.12,曾任第12集团军高炮团团长、高炮旅旅长；31军防空旅旅长、91师师长；
2003.12—2006.11,任上海警备区参谋长；
2006.11—2007.11,任江西省军区司令员；
2007.11—2010.12,任第31集团军军长；
2010.12—2013.07,任北京军区参谋长；
2013.07—2014.12,任解放军副总参谋长（正大军区级将领）。 
2014.12—2015.01,任武警部队司令员。
2015.01—,任武警部队司令员、中央政法委委员
