time,position
2009, 曾任沈空辖属空17师独立大队政委、空1师政委、空军第一飞行学院政委。
2009—2013,沈阳军区空军政治部副主任。
2013—2014,南京军区空军政治部主任。
2014—2016.2,广州军区副政委兼广州军区空军政委 
2016.2—2016.12,中国人民解放军南部战区空军政委 
2016.12—, 中央军委装备发展部政委
