time,position
1976—2010.1, 曾任高炮16旅作训科长、第41集团军军务处参谋、作训处副处长、第121师361团参谋长、364团团长、陆军第41集团军作训处处长、第42集团军124师参谋长、第42集团军副参谋长、第42集团军124师师长等职。
2010.1—2011.7,任陆军第41集团军参谋长。
2011.7—2013.9,晋升少将军衔。
2013.9—2016.2,任陆军第41集团军军长 。
2016.2—2017, 任中国人民解放军北部战区陆军司令员。
2017—2017.7.31, 中国人民解放军北部战区司令员。
2017.7.31—, 陆军晋升中将、少将军衔仪式在北京隆重举行、李桥铭晋升中将军衔
