time,position
2014, 曾任空降兵第44师师长、空降兵第15军参谋长、空降兵第15军军长等职。
2014—2016.02, 任中国人民解放军成都军区副司令员。
2016.02—2017, 任中国人民解放军中部战区副司令员兼参谋长
2017—, 晋升中将军衔。
