time,position
2002,曾任北京军区政治部组织部副部长；
2002—2003,任第38集团军机步第112师政委；
2003—2005,任总政治部组织部党务局局长；
2005—2011.8,任总政治部组织部副部长；
2011.8—2012.12,任总政治部组织部部长；
2012.12—2016.1,任中央军委办公厅主任。
2016.1—2017.9,任中央军委办公厅主任、军委改革和编制办公室主任。
2017.9—,任中国人民解放军海军政委、中国共产党第十九届中央委员会委员、党的十九大代表
